name,cz,HouseholdIncomeOutcome,Census_Response_Rate_Social_Capital_Proxy,IncarcerationRate,Median_Hhold._Income_of_Residents_in_2012-16,CollegeGradRate,HighSchoolGradRate,EmploymentRate,Poverty_Rate_in_2012-16,Fraction_College_Graduates_in_2012-16
"Toccoa, GA_RaceBlack",cz9302_RaceBlack,23058.0,83.94,0.0429,35927,0.0919,0.7245,0.7692,0.2148,0.1407
"Toccoa, GA_RaceWhite",cz9302_RaceWhite,41032.0,83.94,0.0139,35927,0.2564,0.8308,0.7508,0.2148,0.1407
"Toccoa, GA_RaceHispanic",cz9302_RaceHispanic,36690.0,83.94,0.0001,35927,0,0.6892,0.7404,0.2148,0.1407
"Toccoa, GA_RaceNativeAmerican",cz9302_RaceNativeAmerican,0,83.94,0,35927,0,0,0,0.2148,0.1407
"Scobey, MT_RaceAsian",cz26405_RaceAsian,61502.0,85.2,0.0,50471,0,0,0.8907,0.0478,0.2373
"Scobey, MT_RaceBlack",cz26405_RaceBlack,0,85.2,0,50471,0,0,0,0.0478,0.2373
"Scobey, MT_RaceWhite",cz26405_RaceWhite,63042.0,85.2,0.0021,50471,0,0,0.8835,0.0478,0.2373
"Scobey, MT_RaceHispanic",cz26405_RaceHispanic,0,85.2,0,50471,0,0,0,0.0478,0.2373
"Scobey, MT_RaceNativeAmerican",cz26405_RaceNativeAmerican,0,85.2,0,50471,0,0,0,0.0478,0.2373
"Eufaula, AL & GA_RaceAsian",cz10301_RaceAsian,31530.0,72.33,0.0272,30275,0.2499,0.7864,0.7519,0.2846,0.1255
"Eufaula, AL & GA_RaceBlack",cz10301_RaceBlack,21854.0,72.33,0.052,30275,0.1394,0.7021,0.7499,0.2846,0.1255
"Eufaula, AL & GA_RaceWhite",cz10301_RaceWhite,46007.0,72.33,0.0026,30275,0.3282,0.869,0.7783,0.2846,0.1255
"Eufaula, AL & GA_RaceHispanic",cz10301_RaceHispanic,29670.0,72.33,0.0035,30275,0,0,0.7187,0.2846,0.1255
"Eufaula, AL & GA_RaceNativeAmerican",cz10301_RaceNativeAmerican,0,72.33,0,30275,0,0,0,0.2846,0.1255
"Dillon, MT_RaceAsian",cz34401_RaceAsian,48768.0,79.32,0.0081,39685,0.4007,0.9006,0.8124,0.1699,0.3071
"Dillon, MT_RaceBlack",cz34401_RaceBlack,0,79.32,0,39685,0,0,0,0.1699,0.3071
"Dillon, MT_RaceWhite",cz34401_RaceWhite,50517.0,79.32,0.0086,39685,0.4205,0.8984,0.8171,0.1699,0.3071
"Dillon, MT_RaceHispanic",cz34401_RaceHispanic,37332.0,79.32,0.0,39685,0,0,0.8476,0.1699,0.3071
"Dillon, MT_RaceNativeAmerican",cz34401_RaceNativeAmerican,0,79.32,0,39685,0,0,0,0.1699,0.3071
"Marshall, MO_RaceAsian",cz26102_RaceAsian,43642.0,82.64,0.0145,42216,0.3472,0.879,0.7976,0.1767,0.1913
"Marshall, MO_RaceBlack",cz26102_RaceBlack,26274.0,82.64,0.0634,42216,0,0.9088,0.8168,0.1767,0.1913
"Marshall, MO_RaceWhite",cz26102_RaceWhite,45749.0,82.64,0.0132,42216,0.3514,0.8828,0.8079,0.1767,0.1913
"Marshall, MO_RaceHispanic",cz26102_RaceHispanic,37315.0,82.64,0.0078,42216,0,0.6272,0.8218,0.1767,0.1913
"Marshall, MO_RaceNativeAmerican",cz26102_RaceNativeAmerican,0,82.64,0,42216,0,0,0,0.1767,0.1913
"Goodland, KS_RaceAsian",cz28605_RaceAsian,52081.0,81.36,0.0042,45302,0.3406,0.9027,0.8018,0.1557,0.2019
"Goodland, KS_RaceBlack",cz28605_RaceBlack,0,81.36,0,45302,0,0,0,0.1557,0.2019
"Goodland, KS_RaceWhite",cz28605_RaceWhite,54549.0,81.36,0.0047,45302,0.3537,0.9212,0.806,0.1557,0.2019
"Goodland, KS_RaceHispanic",cz28605_RaceHispanic,42665.0,81.36,0.0011,45302,0,0,0.8302,0.1557,0.2019
"Goodland, KS_RaceNativeAmerican",cz28605_RaceNativeAmerican,0,81.36,0,45302,0,0,0,0.1557,0.2019
"Starkville, MS_RaceAsian",cz10502_RaceAsian,33799.0,78.46,0.0283,34465,0.2954,0.7993,0.7554,0.2906,0.29
"Starkville, MS_RaceBlack",cz10502_RaceBlack,22540.0,78.46,0.0462,34465,0.1421,0.7228,0.769,0.2906,0.29
"Starkville, MS_RaceWhite",cz10502_RaceWhite,49783.0,78.46,0.0115,34465,0.3861,0.8639,0.7655,0.2906,0.29
"Starkville, MS_RaceHispanic",cz10502_RaceHispanic,35575.0,78.46,0.0254,34465,0,0.8277,0.7768,0.2906,0.29
"Starkville, MS_RaceNativeAmerican",cz10502_RaceNativeAmerican,30112.0,78.46,0.0,34465,0,0,0.7841,0.2906,0.29
"Magnolia, AR_RaceAsian",cz4001_RaceAsian,38182.0,76.28,0.0177,36607,0.3849,0.8642,0.7688,0.2538,0.2034
"Magnolia, AR_RaceBlack",cz4001_RaceBlack,22020.0,76.28,0.029,36607,0.1594,0.7833,0.7553,0.2538,0.2034
"Magnolia, AR_RaceWhite",cz4001_RaceWhite,50308.0,76.28,0.0118,36607,0.4822,0.9125,0.79,0.2538,0.2034
