name,cz,HouseholdIncomeOutcome,Census_Response_Rate_Social_Capital_Proxy,IncarcerationRate,Median_Hhold._Income_of_Residents_in_2012-16,CollegeGradRate,HighSchoolGradRate,EmploymentRate,Poverty_Rate_in_2012-16,Fraction_College_Graduates_in_2012-16
"Mitchell, SD_RaceAsian",cz27006_RaceAsian,55535.0,81.56,0.0054,48669,0.3414,0.8797,0.8284,0.1102,0.2473
"Mitchell, SD_RaceBlack",cz27006_RaceBlack,0,81.56,0,48669,0,0,0,0.1102,0.2473
"Mitchell, SD_RaceWhite",cz27006_RaceWhite,57255.0,81.56,0.0044,48669,0.3429,0.8813,0.8374,0.1102,0.2473
"Mitchell, SD_RaceHispanic",cz27006_RaceHispanic,47943.0,81.56,0.0012,48669,0,0,0.7857,0.1102,0.2473
"Mitchell, SD_RaceNativeAmerican",cz27006_RaceNativeAmerican,15035.0,81.56,0.1097,48669,0,0,0.752,0.1102,0.2473
"Southwest Jackson UT, SD_RaceAsian",cz27603_RaceAsian,53395.0,75.29,0.0062,40272,0.2369,0.9544,0.7627,0.2874,0.188
"Southwest Jackson UT, SD_RaceBlack",cz27603_RaceBlack,0,75.29,0,40272,0,0,0,0.2874,0.188
"Southwest Jackson UT, SD_RaceWhite",cz27603_RaceWhite,58188.0,75.29,0.0002,40272,0.2633,0.969,0.7635,0.2874,0.188
"Southwest Jackson UT, SD_RaceHispanic",cz27603_RaceHispanic,0,75.29,0,40272,0,0,0,0.2874,0.188
"Southwest Jackson UT, SD_RaceNativeAmerican",cz27603_RaceNativeAmerican,20996.0,75.29,0.08,40272,0,0,0.8168,0.2874,0.188
"Socorro, NM_RaceAsian",cz34902_RaceAsian,33847.0,57.21,0.0131,35019,0.3565,0.873,0.7164,0.2403,0.21
"Socorro, NM_RaceBlack",cz34902_RaceBlack,0,57.21,0,35019,0,0,0,0.2403,0.21
"Socorro, NM_RaceWhite",cz34902_RaceWhite,45591.0,57.21,0.0048,35019,0.6315,0.9306,0.7777,0.2403,0.21
"Socorro, NM_RaceHispanic",cz34902_RaceHispanic,32298.0,57.21,0.0158,35019,0.0915,0.847,0.7171,0.2403,0.21
"Socorro, NM_RaceNativeAmerican",cz34902_RaceNativeAmerican,16139.0,57.21,0.0384,35019,0,0.7742,0.6684,0.2403,0.21
"Mobridge, SD_RaceAsian",cz26604_RaceAsian,54369.0,82.81,0.01,46188,0.412,0.8815,0.8159,0.1009,0.2147
"Mobridge, SD_RaceBlack",cz26604_RaceBlack,0,82.81,0,46188,0,0,0,0.1009,0.2147
"Mobridge, SD_RaceWhite",cz26604_RaceWhite,59018.0,82.81,0.0032,46188,0.4347,0.9028,0.837,0.1009,0.2147
"Mobridge, SD_RaceHispanic",cz26604_RaceHispanic,0,82.81,0,46188,0,0,0,0.1009,0.2147
"Mobridge, SD_RaceNativeAmerican",cz26604_RaceNativeAmerican,16172.0,82.81,0.1196,46188,0,0.632,0.5562,0.1009,0.2147
"Glasgow, MT_RaceAsian",cz26408_RaceAsian,51284.0,82.79,0.0125,46117,0.4325,0.8863,0.8191,0.1204,0.2002
"Glasgow, MT_RaceBlack",cz26408_RaceBlack,0,82.79,0,46117,0,0,0,0.1204,0.2002
"Glasgow, MT_RaceWhite",cz26408_RaceWhite,53982.0,82.79,0.0081,46117,0.4383,0.9011,0.8299,0.1204,0.2002
"Glasgow, MT_RaceHispanic",cz26408_RaceHispanic,0,82.79,0,46117,0,0,0,0.1204,0.2002
"Glasgow, MT_RaceNativeAmerican",cz26408_RaceNativeAmerican,23400.0,82.79,0.1485,46117,0,0,0.6868,0.1204,0.2002
"Jonesboro, AR_RaceAsian",cz25900_RaceAsian,38526.0,78.82,0.013,41961,0.2543,0.8659,0.7481,0.2031,0.1837
"Jonesboro, AR_RaceBlack",cz25900_RaceBlack,23321.0,78.82,0.0528,41961,0.1999,0.7631,0.7699,0.2031,0.1837
"Jonesboro, AR_RaceWhite",cz25900_RaceWhite,40321.0,78.82,0.0113,41961,0.2568,0.8711,0.7556,0.2031,0.1837
"Jonesboro, AR_RaceHispanic",cz25900_RaceHispanic,33925.0,78.82,0.0168,41961,0.157,0.7421,0.7441,0.2031,0.1837
"Jonesboro, AR_RaceNativeAmerican",cz25900_RaceNativeAmerican,19280.0,78.82,0.0034,41961,0,0,0.6596,0.2031,0.1837
"Brownsville, TX_RaceAsian",cz31600_RaceAsian,36038.0,69.65,0.0135,35591,0.2552,0.7797,0.7634,0.3333,0.1604
"Brownsville, TX_RaceBlack",cz31600_RaceBlack,34067.0,69.65,0.0362,35591,0.2833,0.8432,0.7692,0.3333,0.1604
"Brownsville, TX_RaceWhite",cz31600_RaceWhite,46389.0,69.65,0.0198,35591,0.4349,0.8717,0.7707,0.3333,0.1604
"Brownsville, TX_RaceHispanic",cz31600_RaceHispanic,37092.0,69.65,0.0129,35591,0.2324,0.7693,0.7929,0.3333,0.1604
"Brownsville, TX_RaceNativeAmerican",cz31600_RaceNativeAmerican,30828.0,69.65,0.0099,35591,0,0,0.7719,0.3333,0.1604
"Scottsbluff, NE_RaceAsian",cz27701_RaceAsian,51012.0,80.2,0.0073,47260,0.3732,0.8635,0.8253,0.1384,0.2196
"Scottsbluff, NE_RaceBlack",cz27701_RaceBlack,22567.0,80.2,0.1741,47260,0,0,0.5153,0.1384,0.2196
"Scottsbluff, NE_RaceWhite",cz27701_RaceWhite,55382.0,80.2,0.0044,47260,0.401,0.88,0.8379,0.1384,0.2196
"Scottsbluff, NE_RaceHispanic",cz27701_RaceHispanic,37382.0,80.2,0.015,47260,0.1207,0.7577,0.7981,0.1384,0.2196
"Scottsbluff, NE_RaceNativeAmerican",cz27701_RaceNativeAmerican,22110.0,80.2,0.1168,47260,0,0,0.7043,0.1384,0.2196
"Shelby, MT_RaceAsian",cz34202_RaceAsian,47446.0,65.95,0.0088,36563,0.3399,0.8149,0.7941,0.2661,0.1833
"Shelby, MT_RaceBlack",cz34202_RaceBlack,0,65.95,0,36563,0,0,0,0.2661,0.1833
"Shelby, MT_RaceWhite",cz34202_RaceWhite,54461.0,65.95,0.0037,36563,0.3719,0.8343,0.8215,0.2661,0.1833
"Shelby, MT_RaceHispanic",cz34202_RaceHispanic,37716.0,65.95,0.0159,36563,0,0,0.8694,0.2661,0.1833
"Shelby, MT_RaceNativeAmerican",cz34202_RaceNativeAmerican,20946.0,65.95,0.0384,36563,0.1737,0.7147,0.6846,0.2661,0.1833
"Winner, SD_RaceAsian",cz27004_RaceAsian,53713.0,82.4,0.0074,39864,0.2915,0.8763,0.8104,0.1953,0.2052
"Winner, SD_RaceBlack",cz27004_RaceBlack,0,82.4,0,39864,0,0,0,0.1953,0.2052
"Winner, SD_RaceWhite",cz27004_RaceWhite,56522.0,82.4,0.0058,39864,0.2982,0.8939,0.8123,0.1953,0.2052
"Winner, SD_RaceHispanic",cz27004_RaceHispanic,0,82.4,0,39864,0,0,0,0.1953,0.2052
"Winner, SD_RaceNativeAmerican",cz27004_RaceNativeAmerican,22436.0,82.4,0.0409,39864,0,0,0.8207,0.1953,0.2052
"Devils Lake, ND_RaceAsian",cz26301_RaceAsian,49659.0,81.2,0.0102,47219,0.3528,0.85,0.809,0.1756,0.1934
"Devils Lake, ND_RaceBlack",cz26301_RaceBlack,0,81.2,0,47219,0,0,0,0.1756,0.1934
"Devils Lake, ND_RaceWhite",cz26301_RaceWhite,58942.0,81.2,0.0018,47219,0.4096,0.8827,0.8423,0.1756,0.1934
"Devils Lake, ND_RaceHispanic",cz26301_RaceHispanic,0,81.2,0,47219,0,0,0,0.1756,0.1934
"Devils Lake, ND_RaceNativeAmerican",cz26301_RaceNativeAmerican,14437.0,81.2,0.0774,47219,0.0426,0.6436,0.6411,0.1756,0.1934
"Wolf Point, MT_RaceAsian",cz26406_RaceAsian,44927.0,78.93,0.0044,36482,0.2794,0.867,0.7635,0.249,0.1425
"Wolf Point, MT_RaceBlack",cz26406_RaceBlack,0,78.93,0,36482,0,0,0,0.249,0.1425
"Wolf Point, MT_RaceWhite",cz26406_RaceWhite,53289.0,78.93,0.0,36482,0.307,0.8887,0.8216,0.249,0.1425
"Wolf Point, MT_RaceHispanic",cz26406_RaceHispanic,0,78.93,0,36482,0,0,0,0.249,0.1425
"Wolf Point, MT_RaceNativeAmerican",cz26406_RaceNativeAmerican,24677.0,78.93,0.0218,36482,0.1838,0.7575,0.6139,0.249,0.1425
"Dillingham, AK_RaceAsian",cz34107_RaceAsian,25087.0,67,0.0212,51686,0.0666,0.8077,0.7797,0.1675,0.1635
"Dillingham, AK_RaceBlack",cz34107_RaceBlack,0,67,0,51686,0,0,0,0.1675,0.1635
"Dillingham, AK_RaceWhite",cz34107_RaceWhite,45309.0,67,0.0,51686,0,0,0.796,0.1675,0.1635
"Dillingham, AK_RaceHispanic",cz34107_RaceHispanic,0,67,0,51686,0,0,0,0.1675,0.1635
"Dillingham, AK_RaceNativeAmerican",cz34107_RaceNativeAmerican,19208.0,67,0.0313,51686,0.0372,0.8537,0.7723,0.1675,0.1635
"Pierre, SD_RaceAsian",cz27011_RaceAsian,55449.0,83.93,0.0089,59108,0.4622,0.8681,0.8522,0.0838,0.318
"Pierre, SD_RaceBlack",cz27011_RaceBlack,0,83.93,0,59108,0,0,0,0.0838,0.318
"Pierre, SD_RaceWhite",cz27011_RaceWhite,59127.0,83.93,0.0066,59108,0.4828,0.8879,0.8653,0.0838,0.318
"Pierre, SD_RaceHispanic",cz27011_RaceHispanic,41685.0,83.93,0.0,59108,0,0,0.8587,0.0838,0.318
"Pierre, SD_RaceNativeAmerican",cz27011_RaceNativeAmerican,25158.0,83.93,0.052,59108,0.0607,0.6211,0.7208,0.0838,0.318
"Clovis, NM & TX_RaceAsian",cz30901_RaceAsian,39649.0,71.82,0.0184,42636,0.2903,0.8185,0.7612,0.2217,0.1963
"Clovis, NM & TX_RaceBlack",cz30901_RaceBlack,30438.0,71.82,0.0474,42636,0.2666,0.8419,0.8176,0.2217,0.1963
"Clovis, NM & TX_RaceWhite",cz30901_RaceWhite,48343.0,71.82,0.01,42636,0.3791,0.8971,0.7914,0.2217,0.1963
"Clovis, NM & TX_RaceHispanic",cz30901_RaceHispanic,32997.0,71.82,0.029,42636,0.1473,0.6975,0.7543,0.2217,0.1963
"Clovis, NM & TX_RaceNativeAmerican",cz30901_RaceNativeAmerican,21482.0,71.82,0.0,42636,0,0,0.7139,0.2217,0.1963
"Alamogordo, NM_RaceAsian",cz30602_RaceAsian,38265.0,69.37,0.0155,40160,0.281,0.8657,0.7556,0.237,0.2018
"Alamogordo, NM_RaceBlack",cz30602_RaceBlack,29673.0,69.37,0.0456,40160,0.133,0.8759,0.7484,0.237,0.2018
"Alamogordo, NM_RaceWhite",cz30602_RaceWhite,43879.0,69.37,0.011,40160,0.3135,0.8922,0.7691,0.237,0.2018
"Alamogordo, NM_RaceHispanic",cz30602_RaceHispanic,35383.0,69.37,0.0215,40160,0.2417,0.8456,0.7704,0.237,0.2018
"Alamogordo, NM_RaceNativeAmerican",cz30602_RaceNativeAmerican,22555.0,69.37,0.0108,40160,0.0192,0.6541,0.7408,0.237,0.2018
"East Corson UT, ND & SD_RaceAsian",cz26603_RaceAsian,36914.0,0,0.0204,35149,0.1456,0.8033,0.7043,0.4231,0.1643
"East Corson UT, ND & SD_RaceBlack",cz26603_RaceBlack,0,0,0,35149,0,0,0,0.4231,0.1643
"East Corson UT, ND & SD_RaceWhite",cz26603_RaceWhite,61621.0,0,0.0,35149,0.1154,0.8623,0.8061,0.4231,0.1643
"East Corson UT, ND & SD_RaceHispanic",cz26603_RaceHispanic,0,0,0,35149,0,0,0,0.4231,0.1643
"East Corson UT, ND & SD_RaceNativeAmerican",cz26603_RaceNativeAmerican,14295.0,0,0.0555,35149,0.1467,0.7386,0.6013,0.4231,0.1643
"Mission, SD_RaceAsian",cz27605_RaceAsian,27350.0,54.3,0.0326,29339,0.1944,0.7482,0.6833,0.4693,0.1513
"Mission, SD_RaceBlack",cz27605_RaceBlack,0,54.3,0,29339,0,0,0,0.4693,0.1513
"Mission, SD_RaceWhite",cz27605_RaceWhite,52661.0,54.3,0.0231,29339,0.4099,0.8438,0.7719,0.4693,0.1513
"Mission, SD_RaceHispanic",cz27605_RaceHispanic,0,54.3,0,29339,0,0,0,0.4693,0.1513
"Mission, SD_RaceNativeAmerican",cz27605_RaceNativeAmerican,14955.0,54.3,0.0389,29339,0.0738,0.6899,0.6327,0.4693,0.1513
"Huntsville, TX_RaceAsian",cz32201_RaceAsian,39591.0,76,0.0222,41822,0.2733,0.8515,0.7578,0.2076,0.1705
"Huntsville, TX_RaceBlack",cz32201_RaceBlack,23508.0,76,0.0654,41822,0.1405,0.7899,0.7818,0.2076,0.1705
"Huntsville, TX_RaceWhite",cz32201_RaceWhite,47645.0,76,0.0122,41822,0.318,0.8742,0.7637,0.2076,0.1705
"Huntsville, TX_RaceHispanic",cz32201_RaceHispanic,37143.0,76,0.015,41822,0.1826,0.8028,0.7919,0.2076,0.1705
"Huntsville, TX_RaceNativeAmerican",cz32201_RaceNativeAmerican,40603.0,76,0.0054,41822,0,0,0.5282,0.2076,0.1705
"Bethel, AK_RaceAsian",cz34112_RaceAsian,15465.0,62.7,0.0276,51989,0.0255,0.7748,0.685,0.2628,0.1085
"Bethel, AK_RaceBlack",cz34112_RaceBlack,0,62.7,0,51989,0,0,0,0.2628,0.1085
"Bethel, AK_RaceWhite",cz34112_RaceWhite,42666.0,62.7,0.0081,51989,0,0,0.7835,0.2628,0.1085
"Bethel, AK_RaceHispanic",cz34112_RaceHispanic,0,62.7,0,51989,0,0,0,0.2628,0.1085
"Bethel, AK_RaceNativeAmerican",cz34112_RaceNativeAmerican,14156.0,62.7,0.0255,51989,0.0122,0.7709,0.6977,0.2628,0.1085
"Sisseton, SD_RaceAsian",cz26602_RaceAsian,49872.0,74.07,0.011,47410,0.3327,0.873,0.8213,0.1751,0.1771
"Sisseton, SD_RaceBlack",cz26602_RaceBlack,0,74.07,0,47410,0,0,0,0.1751,0.1771
"Sisseton, SD_RaceWhite",cz26602_RaceWhite,57055.0,74.07,0.005,47410,0.3689,0.9053,0.8402,0.1751,0.1771
"Sisseton, SD_RaceHispanic",cz26602_RaceHispanic,0,74.07,0,47410,0,0,0,0.1751,0.1771
"Sisseton, SD_RaceNativeAmerican",cz26602_RaceNativeAmerican,18265.0,74.07,0.0654,47410,0.0405,0.7004,0.7396,0.1751,0.1771
"Minot, ND_RaceAsian",cz26304_RaceAsian,58894.0,80.9,0.0054,61861,0.3992,0.9054,0.8228,0.0793,0.2572
"Minot, ND_RaceBlack",cz26304_RaceBlack,36258.0,80.9,0.018,61861,0.118,0.857,0.789,0.0793,0.2572
"Minot, ND_RaceWhite",cz26304_RaceWhite,61363.0,80.9,0.0051,61861,0.4056,0.9088,0.8302,0.0793,0.2572
"Minot, ND_RaceHispanic",cz26304_RaceHispanic,44202.0,80.9,0.0067,61861,0,0.9229,0.7492,0.0793,0.2572
"Minot, ND_RaceNativeAmerican",cz26304_RaceNativeAmerican,22399.0,80.9,0.0216,61861,0.2222,0.696,0.6635,0.0793,0.2572
"Casper, WY_RaceAsian",cz34603_RaceAsian,53170.0,79.88,0.0134,61235,0.3208,0.8787,0.8121,0.1018,0.211
"Casper, WY_RaceBlack",cz34603_RaceBlack,33615.0,79.88,0.04,61235,0,0,0.8736,0.1018,0.211
"Casper, WY_RaceWhite",cz34603_RaceWhite,55911.0,79.88,0.0115,61235,0.3352,0.8826,0.8183,0.1018,0.211
"Casper, WY_RaceHispanic",cz34603_RaceHispanic,40674.0,79.88,0.036,61235,0.1148,0.8059,0.8167,0.1018,0.211
"Casper, WY_RaceNativeAmerican",cz34603_RaceNativeAmerican,23432.0,79.88,0.0604,61235,0,0.8356,0.7804,0.1018,0.211
"Morganton, NC_RaceAsian",cz1002_RaceAsian,37026.0,81.91,0.0127,38522,0.287,0.8424,0.7458,0.1985,0.1662
"Morganton, NC_RaceBlack",cz1002_RaceBlack,26333.0,81.91,0.0403,38522,0.2609,0.7954,0.7652,0.1985,0.1662
"Morganton, NC_RaceWhite",cz1002_RaceWhite,38596.0,81.91,0.0115,38522,0.2803,0.8481,0.7501,0.1985,0.1662
"Morganton, NC_RaceHispanic",cz1002_RaceHispanic,34386.0,81.91,0.0144,38522,0.421,0.7402,0.7243,0.1985,0.1662
"Morganton, NC_RaceNativeAmerican",cz1002_RaceNativeAmerican,32178.0,81.91,0.001,38522,0,0,0.8001,0.1985,0.1662
"Rapid City, SD_RaceAsian",cz27601_RaceAsian,47965.0,81.14,0.0146,51408,0.3537,0.8727,0.8126,0.1291,0.272
"Rapid City, SD_RaceBlack",cz27601_RaceBlack,34616.0,81.14,0.0561,51408,0.3929,0.9068,0.7855,0.1291,0.272
"Rapid City, SD_RaceWhite",cz27601_RaceWhite,51731.0,81.14,0.0106,51408,0.3731,0.8851,0.8251,0.1291,0.272
"Rapid City, SD_RaceHispanic",cz27601_RaceHispanic,39704.0,81.14,0.0308,51408,0.1396,0.7784,0.8304,0.1291,0.272
"Rapid City, SD_RaceNativeAmerican",cz27601_RaceNativeAmerican,18522.0,81.14,0.0818,51408,0.0978,0.6691,0.7076,0.1291,0.272
"Great Falls, MT_RaceAsian",cz34203_RaceAsian,46120.0,82.02,0.0098,47289,0.3917,0.8757,0.8089,0.148,0.2582
"Great Falls, MT_RaceBlack",cz34203_RaceBlack,31970.0,82.02,0.0092,47289,0,0.9766,0.8089,0.148,0.2582
"Great Falls, MT_RaceWhite",cz34203_RaceWhite,48540.0,82.02,0.0092,47289,0.4073,0.8814,0.8203,0.148,0.2582
"Great Falls, MT_RaceHispanic",cz34203_RaceHispanic,40665.0,82.02,0.0093,47289,0.2801,0.7673,0.8303,0.148,0.2582
"Great Falls, MT_RaceNativeAmerican",cz34203_RaceNativeAmerican,24588.0,82.02,0.0402,47289,0.0636,0.7402,0.7213,0.148,0.2582
"Gordon, NE & SD_RaceAsian",cz27704_RaceAsian,40325.0,81.68,0.0234,32679,0.338,0.8263,0.7586,0.4266,0.1553
"Gordon, NE & SD_RaceBlack",cz27704_RaceBlack,0,81.68,0,32679,0,0,0,0.4266,0.1553
"Gordon, NE & SD_RaceWhite",cz27704_RaceWhite,52446.0,81.68,0.009,32679,0.416,0.8496,0.8011,0.4266,0.1553
"Gordon, NE & SD_RaceHispanic",cz27704_RaceHispanic,50090.0,81.68,0.0479,32679,0,0,0.919,0.4266,0.1553
"Gordon, NE & SD_RaceNativeAmerican",cz27704_RaceNativeAmerican,20094.0,81.68,0.0634,32679,0.1247,0.7433,0.7025,0.4266,0.1553
"Laurel, MS_RaceAsian",cz2800_RaceAsian,35966.0,74.58,0.0152,35970,0.2546,0.7852,0.7451,0.2379,0.1586
"Laurel, MS_RaceBlack",cz2800_RaceBlack,23419.0,74.58,0.031,35970,0.1522,0.7377,0.7862,0.2379,0.1586
"Laurel, MS_RaceWhite",cz2800_RaceWhite,46717.0,74.58,0.0058,35970,0.3099,0.8114,0.7333,0.2379,0.1586
"Laurel, MS_RaceHispanic",cz2800_RaceHispanic,32244.0,74.58,0.0213,35970,0,0,0.7868,0.2379,0.1586
"Laurel, MS_RaceNativeAmerican",cz2800_RaceNativeAmerican,26830.0,74.58,0.0025,35970,0,0,0.8092,0.2379,0.1586
"Riverton, WY_RaceAsian",cz34303_RaceAsian,50115.0,80.91,0.0108,52273,0.3596,0.8785,0.7931,0.1408,0.2159
"Riverton, WY_RaceBlack",cz34303_RaceBlack,32245.0,80.91,0,52273,0,0,0.8717,0.1408,0.2159
"Riverton, WY_RaceWhite",cz34303_RaceWhite,54077.0,80.91,0.0084,52273,0.3909,0.8954,0.8138,0.1408,0.2159
"Riverton, WY_RaceHispanic",cz34303_RaceHispanic,46550.0,80.91,0.0296,52273,0.065,0.9174,0.749,0.1408,0.2159
"Riverton, WY_RaceNativeAmerican",cz34303_RaceNativeAmerican,19886.0,80.91,0.0421,52273,0.0162,0.5285,0.6613,0.1408,0.2159
"Grand Forks, MN & ND_RaceAsian",cz26704_RaceAsian,56051.0,81.21,0.0074,52881,0.4023,0.9109,0.8472,0.1646,0.3047
"Grand Forks, MN & ND_RaceBlack",cz26704_RaceBlack,36098.0,81.21,0.0312,52881,0,0.9393,0.9212,0.1646,0.3047
"Grand Forks, MN & ND_RaceWhite",cz26704_RaceWhite,58645.0,81.21,0.0055,52881,0.4151,0.9172,0.8538,0.1646,0.3047
"Grand Forks, MN & ND_RaceHispanic",cz26704_RaceHispanic,37200.0,81.21,0.036,52881,0.0987,0.7233,0.8644,0.1646,0.3047
"Grand Forks, MN & ND_RaceNativeAmerican",cz26704_RaceNativeAmerican,24674.0,81.21,0.0718,52881,0.1587,0.8025,0.6921,0.1646,0.3047
"Williston, ND_RaceAsian",cz26412_RaceAsian,65797.0,79.77,0.0035,83972,0.3563,0.8923,0.7909,0.0958,0.2194
"Williston, ND_RaceBlack",cz26412_RaceBlack,0,79.77,0,83972,0,0,0,0.0958,0.2194
"Williston, ND_RaceWhite",cz26412_RaceWhite,67995.0,79.77,0.0033,83972,0.3662,0.893,0.799,0.0958,0.2194
"Williston, ND_RaceHispanic",cz26412_RaceHispanic,39781.0,79.77,0.0135,83972,0,0,0.8055,0.0958,0.2194
"Williston, ND_RaceNativeAmerican",cz26412_RaceNativeAmerican,41743.0,79.77,0.0091,83972,0,0,0.8006,0.0958,0.2194
"Eagle Butte, SD_RaceAsian",cz27602_RaceAsian,28428.0,0,0.0312,38012,0.1122,0.8294,0.6662,0.3163,0.1455
"Eagle Butte, SD_RaceBlack",cz27602_RaceBlack,0,0,0,38012,0,0,0,0.3163,0.1455
"Eagle Butte, SD_RaceWhite",cz27602_RaceWhite,54442.0,0,0.0187,38012,0,0.9702,0.701,0.3163,0.1455
"Eagle Butte, SD_RaceHispanic",cz27602_RaceHispanic,0,0,0,38012,0,0,0,0.3163,0.1455
"Eagle Butte, SD_RaceNativeAmerican",cz27602_RaceNativeAmerican,18822.0,0,0.0483,38012,0.0312,0.7775,0.657,0.3163,0.1455
"Quincy, IL & MO_RaceAsian",cz25000_RaceAsian,46658.0,85.12,0.0143,46283,0.3375,0.8838,0.8131,0.1451,0.1868
"Quincy, IL & MO_RaceBlack",cz25000_RaceBlack,25874.0,85.12,0.0898,46283,0.2004,0.7458,0.8066,0.1451,0.1868
"Quincy, IL & MO_RaceWhite",cz25000_RaceWhite,48491.0,85.12,0.0122,46283,0.34,0.8879,0.8192,0.1451,0.1868
"Quincy, IL & MO_RaceHispanic",cz25000_RaceHispanic,40439.0,85.12,0.0,46283,0,0.8775,0.7928,0.1451,0.1868
"Quincy, IL & MO_RaceNativeAmerican",cz25000_RaceNativeAmerican,28869.0,85.12,0.0043,46283,0,0,0.7984,0.1451,0.1868
"Watertown, SD_RaceAsian",cz26504_RaceAsian,54723.0,86.15,0.0064,53047,0.3662,0.8885,0.8452,0.1059,0.2036
"Watertown, SD_RaceBlack",cz26504_RaceBlack,37889.0,86.15,0,53047,0,0,0.6743,0.1059,0.2036
"Watertown, SD_RaceWhite",cz26504_RaceWhite,56356.0,86.15,0.0058,53047,0.3697,0.8926,0.8518,0.1059,0.2036
"Watertown, SD_RaceHispanic",cz26504_RaceHispanic,36889.0,86.15,0.0,53047,0,0,0.8674,0.1059,0.2036
"Watertown, SD_RaceNativeAmerican",cz26504_RaceNativeAmerican,13509.0,86.15,0.104,53047,0,0,0.6625,0.1059,0.2036
"Rolla, MO_RaceAsian",cz24500_RaceAsian,39938.0,73.57,0.0134,42714,0.3195,0.856,0.7762,0.1835,0.2308
"Rolla, MO_RaceBlack",cz24500_RaceBlack,30403.0,73.57,0.0397,42714,0.3295,0.8366,0.8119,0.1835,0.2308
"Rolla, MO_RaceWhite",cz24500_RaceWhite,41389.0,73.57,0.0124,42714,0.3122,0.8548,0.7838,0.1835,0.2308
"Rolla, MO_RaceHispanic",cz24500_RaceHispanic,38368.0,73.57,0.0169,42714,0.5326,0.9066,0.7903,0.1835,0.2308
"Rolla, MO_RaceNativeAmerican",cz24500_RaceNativeAmerican,31840.0,73.57,0.0415,42714,0,0,0.7244,0.1835,0.2308
"Bismarck, ND_RaceAsian",cz26201_RaceAsian,62194.0,85.03,0.0066,66744,0.4612,0.9109,0.8582,0.0821,0.2979
"Bismarck, ND_RaceBlack",cz26201_RaceBlack,58843.0,85.03,0.0821,66744,0,0,0.8684,0.0821,0.2979
"Bismarck, ND_RaceWhite",cz26201_RaceWhite,64729.0,85.03,0.0061,66744,0.4657,0.9129,0.8667,0.0821,0.2979
"Bismarck, ND_RaceHispanic",cz26201_RaceHispanic,46223.0,85.03,0.0,66744,0,0.861,0.8331,0.0821,0.2979
"Bismarck, ND_RaceNativeAmerican",cz26201_RaceNativeAmerican,19621.0,85.03,0.023,66744,0.2541,0.7807,0.7256,0.0821,0.2979
"Hiawatha, KS_RaceAsian",cz29201_RaceAsian,57845.0,85.11,0.0043,47117,0.3875,0.92,0.8274,0.1268,0.2089
"Hiawatha, KS_RaceBlack",cz29201_RaceBlack,35714.0,85.11,0.0,47117,0,0,0.8185,0.1268,0.2089
"Hiawatha, KS_RaceWhite",cz29201_RaceWhite,60882.0,85.11,0.0046,47117,0.3998,0.9221,0.8349,0.1268,0.2089
"Hiawatha, KS_RaceHispanic",cz29201_RaceHispanic,37169.0,85.11,0.0,47117,0,0,0.7458,0.1268,0.2089
"Hiawatha, KS_RaceNativeAmerican",cz29201_RaceNativeAmerican,25979.0,85.11,0.0,47117,0.2707,0.8652,0.8391,0.1268,0.2089
"Houghton, MI_RaceAsian",cz21002_RaceAsian,49505.0,82.51,0.0038,39743,0.3865,0.8761,0.7887,0.2188,0.3
"Houghton, MI_RaceBlack",cz21002_RaceBlack,38351.0,82.51,0.0834,39743,0,0,0.7515,0.2188,0.3
"Houghton, MI_RaceWhite",cz21002_RaceWhite,51186.0,82.51,0.0035,39743,0.3899,0.8787,0.7933,0.2188,0.3
"Houghton, MI_RaceHispanic",cz21002_RaceHispanic,42687.0,82.51,0.0043,39743,0,0,0.9066,0.2188,0.3
"Houghton, MI_RaceNativeAmerican",cz21002_RaceNativeAmerican,27315.0,82.51,0.0014,39743,0.2788,0.7995,0.7155,0.2188,0.3
"Sioux City, IA & NE & SD_RaceAsian",cz28001_RaceAsian,50643.0,80.47,0.0092,52261,0.3838,0.8822,0.8297,0.1293,0.2114
"Sioux City, IA & NE & SD_RaceBlack",cz28001_RaceBlack,26341.0,80.47,0.0687,52261,0.1205,0.656,0.823,0.1293,0.2114
"Sioux City, IA & NE & SD_RaceWhite",cz28001_RaceWhite,54851.0,80.47,0.0068,52261,0.4041,0.8947,0.8504,0.1293,0.2114
"Sioux City, IA & NE & SD_RaceHispanic",cz28001_RaceHispanic,36598.0,80.47,0.0193,52261,0.1003,0.7125,0.8159,0.1293,0.2114
"Sioux City, IA & NE & SD_RaceNativeAmerican",cz28001_RaceNativeAmerican,21537.0,80.47,0.096,52261,0.0982,0.6748,0.7271,0.1293,0.2114
"Parkston, SD_RaceAsian",cz27008_RaceAsian,56475.0,81.1,0.0068,45397,0.3479,0.8783,0.8332,0.1617,0.1979
"Parkston, SD_RaceBlack",cz27008_RaceBlack,0,81.1,0,45397,0,0,0,0.1617,0.1979
"Parkston, SD_RaceWhite",cz27008_RaceWhite,61467.0,81.1,0.004,45397,0.3743,0.9031,0.8478,0.1617,0.1979
"Parkston, SD_RaceHispanic",cz27008_RaceHispanic,25622.0,81.1,0,45397,0,0,0.8772,0.1617,0.1979
"Parkston, SD_RaceNativeAmerican",cz27008_RaceNativeAmerican,16427.0,81.1,0.0629,45397,0.0094,0.4665,0.7205,0.1617,0.1979
