x_l2,y_l2,x_l1,y_l1,2,3,4,5,6,7,8,9
-122386.09676854526,-75407.74210653147,11554.885904204893,187731.16937965844,0,1,2,2,1,5,2,6
37802.55054044422,-31856.73038299799,52486.78110382425,-17672.003962122697,1,0,1,0,5,2,1,7
-112309.08170771874,-42177.36271469461,-17959.782821035722,148332.80202975037,0,1,2,2,2,5,2,6
-160705.740494723,-34514.73407874026,-48747.44228288306,186510.67118286953,1,0,1,1,4,0,7,1
40461.15550122218,-74307.33151662014,98219.76997328407,-11056.20431508752,0,1,0,2,2,6,3,5
20256.946912330735,-18594.113778025436,27556.81922181862,-1896.2308907923004,1,0,1,1,4,0,7,1
30745.9963927887,125481.25691551322,-67968.05887204809,-135466.6110495625,0,1,0,2,2,6,5,8
30133.266864507452,6763.082779414577,8148.267685641503,-29196.44467866686,0,1,0,2,2,6,3,5
42060.59066605906,-83218.78666894611,108187.26299542782,-12045.896507651867,0,2,3,3,3,1,0,0
12454.216482486774,19192.687173356448,-17780.06840028417,-19672.90782865506,0,1,2,4,0,3,6,3
22898.67490039866,220996.30687251984,-114530.19193769404,-221290.5741221533,0,2,3,3,3,4,5,8
35031.188708726164,35608.8244627462,-11426.592813633813,-57511.950686642995,0,2,0,2,1,4,4,4
35137.131327899166,84327.22140284943,-44913.375166742546,-100556.83135018397,0,2,3,3,1,4,4,4
31068.283909049074,-26719.438120594245,43205.94186679551,-11059.705705372919,0,2,3,3,1,4,4,4
33911.515971715955,52153.9628710797,-23517.18394615777,-70817.653397616,0,1,0,2,2,6,3,5
19830.599496072253,20684.827110152837,-12721.023020179828,-28442.173460133254,1,0,1,1,4,0,7,1
-73970.10635286073,83255.90083951657,-159378.5353262754,15288.59293009854,0,1,2,4,0,3,6,3
47169.722856119464,-121090.95922785338,149488.63699864887,-19675.807952274346,0,2,3,3,3,4,5,8
20941.498826043306,3258.9790482607423,4542.221507398855,-16143.190687294029,0,1,0,2,2,6,3,5
-118281.66602275531,22418.582205916573,-111487.72102967116,104583.8869068179,0,2,3,4,3,1,0,0
41195.36854936774,-78173.14086964415,102531.5121133964,-11462.724268904814,1,0,1,1,4,0,7,1
2354.15558278187,7724.7694001679065,-14505.005791365262,-305.8584338472322,0,1,2,4,0,3,6,3
35661.816550673415,34525.38552476977,-10229.055533400866,-57244.22552981847,0,1,0,2,1,4,4,4
-103850.1493964977,100081.05348069262,-197258.04745375656,47229.410375006526,0,2,3,0,5,2,1,7
37521.34503592286,7175.542618271175,13414.834145850198,-37798.56859830684,0,1,0,2,1,4,4,4
-129300.82953017115,50209.71912949689,-154456.08730419335,99919.48306141327,0,1,2,2,1,5,2,6
31419.52206340196,85889.54130977411,-46834.638832480756,-98227.57376596064,0,2,3,3,3,1,5,2
14810.8068134882,14823.630180482496,-11553.994398245524,-18500.41408911004,1,0,1,1,4,6,3,5
36170.662065090786,5546.302027610387,13980.864588891169,-35177.61176940529,0,1,0,2,2,6,4,4
11558.584107504465,-11577.755883758939,14452.892478790218,3777.906138164287,0,1,0,2,1,4,5,8
31583.234977454966,-86275.79883824765,107451.64238714485,4935.743938629172,0,2,3,3,1,4,5,8
40812.10014859471,-23283.723723784697,45470.695572742145,-24091.910050897808,0,1,0,2,2,6,3,5
37157.92048140792,29737.556080837803,-5740.5637318046965,-54965.73204932527,0,2,3,3,3,4,5,8
40662.043758146996,-29281.05224563987,51613.230289100866,-21770.285718814775,0,1,0,2,2,6,3,5
15483.074460415484,20017.80786466643,-15806.779102160624,-23423.88872915247,0,1,0,2,2,6,3,5
-145400.67893841362,151773.7107603728,-277416.2700918826,89403.63645641398,0,1,2,2,2,5,2,6
24784.067842188644,-14611.034598621545,25963.26233338061,-9269.539437326594,0,1,2,4,0,3,6,3
6969.947555070778,29885.48490650017,-32790.16413477353,-23469.16834500386,0,1,0,2,1,4,5,8
22351.359222398605,31020.50475762389,-19486.44784422813,-39720.50298787773,0,2,0,3,1,4,4,4
33383.17872104074,-18220.12961811691,35454.26883054525,-17742.584632134334,0,2,3,3,3,1,0,2
30915.96445710903,84652.1803937028,-46442.910224797604,-96554.47595490121,0,1,0,2,2,6,4,4
-97993.69186073872,68688.06253771496,-159208.25860875053,54314.34211488386,0,2,3,3,3,1,0,0
31630.99639926854,74036.22162646987,-39556.42224716083,-87684.62083736803,0,1,0,2,2,4,5,8
43073.19552210233,-79874.65769864594,105321.39816769131,-13495.503978972125,0,1,0,2,2,6,3,5
21400.28830097696,-12639.92562102242,21635.18291055946,-6565.9609210932995,1,0,1,1,4,0,7,1
33548.5686853706,20935.961892515803,-1015.7514999655891,-44080.31313441686,0,2,0,3,1,4,4,4
26230.933580914036,-2004.453490111303,13667.205841644529,-18636.599866359174,0,1,2,4,0,3,6,3
23125.59543235568,32650.338608308142,-20147.672713552925,-41930.26691671958,0,1,2,4,0,3,6,3
28627.36179144187,60087.021040570085,-33671.40434143883,-72254.02459557177,1,0,1,1,4,0,7,1
42009.90121123357,-2500.055946909106,25272.55817021493,-35821.84674465638,0,1,0,2,1,4,4,4
