position,track name,artist,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,explicit,popularity,year
199,"Water","Ugly God",18064,0.431,0.861,"C♯",-5.4239999999999995,"major",0.0474,8.05e-05,0.322,0.0957,0.364,172.092,252667,4,"Hiphop","not explicit",38,2002
190,"Unsteady","X Ambassadors",18606,0.389,0.665,"C",-6.169,"major",0.0644,0.17800000000000002,0.000732,0.11599999999999999,0.19899999999999998,117.055,193547,4,"Emo","not explicit",76,2015
192,"Into You","Ariana Grande",40353,0.623,0.7340000000000001,"A",-5.9479999999999995,"major",0.107,0.0162,1.75e-06,0.145,0.37,107.853,244453,4,"Pop","not explicit",75,2016
159,"Money Trees","Kendrick Lamar",191846,0.716,0.531,"G",-7.355,"major",0.122,0.0703,0.0,0.22399999999999998,0.344,71.994,386907,4,"Hiphop","explicit",62,2012
98,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",33443,0.8390000000000001,0.81,"F",-5.274,"minor",0.0568,0.501,0.0,0.11699999999999999,0.8140000000000001,129.014,209269,4,"Hiphop","explicit",75,2017
143,"The Man","The Killers",48171,0.308,0.769,"B",-7.256,"minor",0.065,0.0331,0.0,0.214,0.488,81.85300000000002,254880,4,"Rap","not explicit",58,2014
191,"Dangerous","The xx",32748,0.872,0.622,"F♯",-9.276,"major",0.498,0.0179,0.0,0.204,0.8009999999999999,95.65799999999999,254960,4,"RnB","explicit",39,1997
170,"Most Girls","Hailee Steinfeld",25111,0.76,0.569,"A",-7.518,"major",0.102,0.0522,0.0,0.10400000000000001,0.446,102.98200000000001,205080,4,"Pop","not explicit",20,2019
164,"LUST.","Kendrick Lamar",20534,0.6779999999999999,0.562,"D♯",-9.197000000000001,"minor",0.508,0.193,0.0,0.10400000000000001,0.5660000000000001,94.241,307880,4,"Rap","explicit",62,2017
199,"One Night","Lil Yachty",150234,0.846,0.542,"C♯",-11.024000000000001,"major",0.0358,0.223,0.0,0.0259,0.898,102.57700000000001,300773,4,"Hiphop","not explicit",33,1989
162,"Love The Way You Lie","Eminem",20547,0.212,0.985,"G",-2.8560000000000003,"major",0.106,0.000281,3.34e-06,0.0866,0.237,156.389,297240,4,"Hiphop","explicit",52,2011
194,"Moves","Big Sean",19662,0.812,0.522,"D",-5.287000000000001,"major",0.257,0.0433,0.0,0.154,0.38,75.524,142907,4,"Rap","explicit",63,2017
175,"Say You Won't Let Go","James Arthur",36684,0.358,0.557,"A♯",-7.398,"major",0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999998,211467,4,"Emo","not explicit",86,2016
185,"Run Away","dvsn",22267,0.721,0.924,"C♯",-8.282,"major",0.0396,0.000683,0.003820000000000001,0.0817,0.6940000000000001,130.947,244133,4,"Dark Trap","not explicit",51,1995
113,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",31137,0.703,0.757,"C♯",-3.612,"major",0.05,0.617,0.0,0.106,0.696,82.008,221747,4,"Dark Trap","explicit",77,2017
110,"White Iverson","Post Malone",31864,0.675,0.562,"G",-7.678,"major",0.0352,0.233,0.0,0.0816,0.309,130.09799999999998,256533,4,"Hiphop","explicit",77,2016
