labels,x,y
position,0.9999999999999998,0.23237077278723497,0.09503113109918344,0.003955111282492707,0.06324024533624706,0.07587132533556262,0.017598902986197304,0.06290407645718958,0.019072618697251548,0.040082452243575824,0.01583676790925497,0.02503749961883849,0.003684556725039363,0.07334243302468174,0.07242533447316386
streams,0.23237077278723497,0.9999999999999999,0.05367263499384973,0.025319605053455846,0.020877408980707862,0.03650478782467749,0.015060649551126858,0.00014193846316995796,0.0445216857758151,0.045418642601890574,8.488344719706278e-05,0.028134880807415046,0.04783790183299076,0.02631969691412907,0.03287704298164928
danceability,0.09503113109918344,0.05367263499384973,1.0,0.056533788802913425,0.13598402543734564,0.26657908016474835,0.15106234671860783,0.1477839797572394,0.09881241989039581,0.2862932722297333,0.08340478826969455,0.07384417398906916,0.004991031681236274,0.23260486893803312,0.29676483980005064
energy,0.003955111282492707,0.025319605053455846,0.056533788802913425,1.0,0.719179097723063,0.03980176512309319,0.5815198571467655,0.1380700609829371,0.14308188245282824,0.3784380366252162,0.2160661430694265,0.04772511710442195,0.07673922291809478,0.00744264317567842,0.09779239995449024
loudness,0.06324024533624706,0.020877408980707862,0.13598402543734564,0.719179097723063,1.0,0.10951736331774238,0.4462444771994626,0.3533714341273192,0.08875574297212752,0.18516577015717792,0.1512056472854807,0.009098212796092107,0.052737436392526246,0.2656154227121775,0.3789739316913862
speechiness,0.07587132533556262,0.03650478782467749,0.26657908016474835,0.03980176512309319,0.10951736331774238,0.9999999999999999,0.11229202146000412,0.11609298203958382,0.11203637644962855,0.01868043186434829,0.05582480006956013,0.011828439633753312,0.009120868928460766,0.18694537583689433,0.22541637572884193
acousticness,0.017598902986197304,0.015060649551126858,0.15106234671860783,0.5815198571467655,0.4462444771994626,0.11229202146000412,0.9999999999999999,0.08357762491780191,0.06200709419832343,0.133837640447043,0.1688598099373735,0.041695223015411426,0.03557461734519854,0.061677590328328195,0.2002714967825568
instrumentalness,0.06290407645718958,0.00014193846316995796,0.1477839797572394,0.1380700609829371,0.3533714341273192,0.11609298203958382,0.08357762491780191,1.0,0.07657925677813986,0.08206614813996581,0.030106291301140172,0.16671532976131467,0.02003312478884878,0.24138342437647395,0.20436861818667915
liveness,0.019072618697251548,0.0445216857758151,0.09881241989039581,0.14308188245282824,0.08875574297212752,0.11203637644962855,0.06200709419832343,0.07657925677813986,0.9999999999999999,0.02385878598963189,0.031707542576046265,0.10357189798119658,0.0806792151190115,0.00952561045281685,0.013417948003047237
valence,0.040082452243575824,0.045418642601890574,0.2862932722297333,0.3784380366252162,0.18516577015717792,0.01868043186434829,0.133837640447043,0.08206614813996581,0.02385878598963189,1.0,0.023840792962465607,0.07451385223030244,0.017686073383033882,0.13879120706047735,0.1298411833760373
tempo,0.01583676790925497,8.488344719706278e-05,0.08340478826969455,0.2160661430694265,0.1512056472854807,0.05582480006956013,0.1688598099373735,0.030106291301140172,0.031707542576046265,0.023840792962465607,0.9999999999999998,0.017064892094727658,0.00708314089135727,0.04846485071340289,0.06522378324642675
duration_ms,0.02503749961883849,0.028134880807415046,0.07384417398906916,0.04772511710442195,0.009098212796092107,0.011828439633753312,0.041695223015411426,0.16671532976131467,0.10357189798119658,0.07451385223030244,0.017064892094727658,1.0,0.011272838228376363,0.04991027687882745,0.058093841859072286
time_signature,0.003684556725039363,0.04783790183299076,0.004991031681236274,0.07673922291809478,0.052737436392526246,0.009120868928460766,0.03557461734519854,0.02003312478884878,0.0806792151190115,0.017686073383033882,0.00708314089135727,0.011272838228376363,1.0,0.06838052542676379,0.005731164663366097
popularity,0.07334243302468174,0.02631969691412907,0.23260486893803312,0.00744264317567842,0.2656154227121775,0.18694537583689433,0.061677590328328195,0.24138342437647395,0.00952561045281685,0.13879120706047735,0.04846485071340289,0.04991027687882745,0.06838052542676379,1.0,0.4678238775949023
year,0.07242533447316386,0.03287704298164928,0.29676483980005064,0.09779239995449024,0.3789739316913862,0.22541637572884193,0.2002714967825568,0.20436861818667915,0.013417948003047237,0.1298411833760373,0.06522378324642675,0.058093841859072286,0.005731164663366097,0.4678238775949023,0.9999999999999998
