Dimension,Explained variance,Explained variance ratio,position,streams,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,year
1,0.0017438464414687735,0.21836546409066218,0.026450940421606887,0.001155413865438415,0.011021931317791512,0.24538889804481467,0.0015361837377038498,0.003074735655412077,0.5970693700423737,0.01306012101182431,0.0007039619156622625,0.08806915486295593,0.005958401721134804,5.692521247995541e-05,0.0006959992254770703,0.004539066219346896,0.0012188967459770147
2,0.0014698050235512107,0.18404983859715265,0.09013687433617107,0.0011560078916964284,0.028055588826156747,0.2677613965779686,0.0039846083034104085,0.013339281546482708,0.5979284756617553,0.04211688895385505,0.001415030929876592,0.1767664230741542,0.006923967033696868,0.0008914162631231144,0.0016602978307114547,0.7651958529400036,0.002667889830935456
3,0.001099269217362166,0.13765112976787683,0.5768233607428366,0.1593632772378486,0.059544221264933396,0.2799323208745491,0.009076361443990547,0.014126074966753624,0.6775475038875839,0.043164270279194956,0.001418358104559527,0.3731325083890387,0.014549377068589189,0.00212390243501812,0.005174123276727541,0.7759397441406679,0.008084595887704136
4,0.0007857159811394691,0.09838781144081742,0.664975276076358,0.3972587172501212,0.15106135274120083,0.2903563222345546,0.017150626433104967,0.026499592738179624,0.7044754882146749,0.11331243248738995,0.026004163455566626,0.7156744335052808,0.04959587076806392,0.02163117169098856,0.01121285747961514,0.7945292739435823,0.016262420981313825
5,0.0005508847386438494,0.06898210688385396,0.6953493486346849,0.4647795095281539,0.4261245983711234,0.48012957467737866,0.024458928530003452,0.16037530387779234,0.8135930423154168,0.18437479314101102,0.02602516194981713,0.7379371053370262,0.09860186511542149,0.02238675139017411,0.01780355848885923,0.8253734696191891,0.022686989023942672
6,0.0005190493321919155,0.06499565880042282,0.7203302038218056,0.4759475959269765,0.6055100835319376,0.4825060487419854,0.13437925252826027,0.18049706361268947,0.8149310028568075,0.2850911479768502,0.2564487297321034,0.7759180771729365,0.14720716151107896,0.03011772870773844,0.09305120196676554,0.8619856547006703,0.13607904721138886
7,0.00048069967874248416,0.0601934929249987,0.8939986296522824,0.9025634253810215,0.6160266043368227,0.48789124218588825,0.13827251650005418,0.18204742051869086,0.8180232121955668,0.6050158018131384,0.2863919686449828,0.7759666771741028,0.15192928075760462,0.04478927221146505,0.09454489042615705,0.8627077480148542,0.13983131018736347
8,0.0003935391104261612,0.04927919594437172,0.9201419453405835,0.9306105234573522,0.6164750204030017,0.49234386561425036,0.13849591527998725,0.5172148797161904,0.8316455557603968,0.8540214093846394,0.49676334922002613,0.820865803139535,0.17180645419171245,0.04512331183343298,0.09625721186876972,0.9282463119396006,0.13998844285051587
9,0.00031058627574043717,0.03889179381249171,0.920142324391543,0.931347420573088,0.6515140198915459,0.5047047093348948,0.17023640505826365,0.6476958761768843,0.8321342846966729,0.8782052356543786,0.699495964037574,0.8295488846251899,0.6575452381597049,0.05740541556150657,0.11960796964467826,0.9284361101332699,0.1719801420607997
10,0.0002682742275796742,0.033593454570264976,0.9305675341453221,0.9315763361205383,0.6723425288024889,0.6922941444491258,0.17106358681973508,0.8703616748246316,0.8594422087194908,0.9024673849925664,0.9246276275852567,0.8466539411789359,0.9135283608134246,0.059858386785901996,0.12337625008665186,0.9289605165898572,0.1728795180860652
11,0.0001820116417399049,0.0227916034768302,0.9322576473041414,0.9317767937543879,0.917396122913819,0.9293469009080007,0.22514557315272551,0.9239279396185768,0.9301193406577892,0.9204925855417316,0.9259174429411421,0.9298892853791512,0.9324781084889889,0.1793249153429914,0.16610804420790345,0.9315635751763944,0.2242557246122482
12,0.00015254089789337535,0.01910125981805932,0.9332513421781287,0.9328768345477867,0.9330952746854748,0.9329251142125368,0.2868841700135326,0.9331871167164598,0.9332748637483119,0.9328922737245833,0.9331687249673429,0.9329867453133436,0.9331321075138528,0.9329781445509255,0.23010800696396475,0.932718000804397,0.2865212800593511
13,2.9351657122724186e-05,0.0036754315500596947,0.9333317817250535,0.9333328535430988,0.9332945032504846,0.9333310700592881,0.4274500858467859,0.9333281653439673,0.9333246407355764,0.9333289590791676,0.9333315722500883,0.9333063193786799,0.9333333319862024,0.9333282336379489,0.9332390543832125,0.933301578269329,0.4394378505111087
14,3.3347810637002767e-07,4.175832213771803e-05,0.9333333333333327,0.9333333333333331,0.9333333333333326,0.9333333333333328,0.9333333333333353,0.9333333333333322,0.9333333333333329,0.9333333333333328,0.9333333333333328,0.9333333333333325,0.9333333333333327,0.9333333333333336,0.9333333333333327,0.933333333333332,0.9333333333333311
15,2.2231769113957686e-33,2.783875038926557e-31,0.9999999999999992,0.9999999999999997,0.9999999999999991,0.9999999999999993,0.9999999999999999,0.9999999999999989,0.9999999999999996,0.9999999999999994,0.9999999999999994,0.9999999999999991,0.9999999999999993,1.0000000000000002,0.9999999999999993,0.9999999999999986,0.9999999999999997
