position,streams,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,year,2,3,4,5,6,7,8,9
0.10883229365081534,0.0702352793814947,0.09775527679812107,0.06954175717883244,0.10801799698387976,0.04544239802692277,0.02171901104449663,0.0,0.03168126564793863,0.07578360713298582,0.05350425576697839,0.03011323727595357,0.08794528779863867,0.08971430220838139,0.10971403110456096,0,1,2,2,1,5,2,6
0.09595261180892119,0.007650533422147701,0.07690459226998396,0.07831432482466434,0.10028468966311625,0.005180455080101984,0.06939598021490667,0.09553658269460573,0.014708855686344854,0.09101624465110766,0.07564240234670677,0.03368660326512257,0.08166179728418826,0.07274470447729414,0.10131962231078775,1,0,1,0,5,2,1,7
0.10828631196710242,0.07055726413386627,0.09373671648202046,0.06875549553009534,0.1162697091857888,0.009235162099789411,0.05515604885906635,0.00033813056039688495,0.013078289280789593,0.03187639493524814,0.0883723143439042,0.039050057190168325,0.09467655691112781,0.0925000843384582,0.1181114641821776,0,1,2,2,2,5,2,6
0.09994470690028263,0.0885143004307163,0.07504778603724656,0.025524905137653386,0.11417151746776899,0.008165158167081054,0.09843521001936367,1.989811806813815e-05,0.06773948992460385,0.010458130465001854,0.06624220504116327,0.04054486204026773,0.09297182037235595,0.096177745212782,0.11604226466564466,1,0,1,1,4,0,7,1
0.12649728625323603,0.009887843466482396,0.11746400451398747,0.03616621774008375,0.12813197930478415,0.08610945914483092,0.012869191950057124,0.025342196522620486,0.025855852592221906,0.019648914060592233,0.049651798106945214,0.03346161441384621,0.10432765876555548,0.09443451871020109,0.13015146445455555,0,1,0,2,2,6,3,5
0.1478197545517274,0.019876006679168848,0.07652513960318355,0.05559303537468118,0.14743252945871477,0.005507373768106131,0.12133385188391059,2.364561189135254e-06,0.017884929413235384,0.025863597942447834,0.06051820581141722,0.05326373750233827,0.12005665344302734,0.003449903834569751,0.14487291617228248,1,0,1,1,4,0,7,1
0.13302481340208874,0.00846504943590955,0.054460229584543475,0.07981764989765108,0.13411369016809352,0.008748264917477416,0.0013574454239560561,2.0637333688753266e-06,0.06400504953535509,0.021964881469901137,0.07579597588055459,0.08210853233661561,0.10914856484273949,0.09095713736894957,0.1360306520027957,0,1,0,2,2,6,5,8
0.12816944631661292,0.011949634140094359,0.07751611489969623,0.09683599234038459,0.1272042327654056,0.022784266367416414,0.0037383247060508514,0.0,0.015569353930577757,0.06025624697834113,0.06175391288283686,0.05145259549337953,0.10357126975079833,0.1101188787580327,0.12907973067037273,0,1,0,2,2,6,3,5
0.10870218757746626,0.00983832653143186,0.13218617637750923,0.07137706901911056,0.1334888193145699,0.014199501310426185,0.000883824777415569,0.0,0.005005246990295034,0.13517661097094616,0.08047424815594746,0.032753661517827305,0.10870218757746626,0.03435988687793474,0.13285225300165346,0,2,3,3,3,1,0,0
0.04457135756480518,0.02032111911623523,0.11954003944583763,0.09829102591428944,0.13288575231903169,0.008623504626205642,0.011878032104095944,0.0,0.02165718152136041,0.06160846872328201,0.08628895249526841,0.05685167282296618,0.10805177591467922,0.09470055072981944,0.13473056670212352,0,1,2,4,0,3,6,3
0.10708170758567621,0.008430115623135314,0.04925945258156537,0.11697592089468499,0.12449661308821953,0.012326623587685711,0.00020928062848348322,0.0036606172723958226,0.04077681749497822,0.060027117301219915,0.10390808088104447,0.09722683319757454,0.10137913144206033,0.04952428834813292,0.12471740007314323,0,2,3,3,3,4,5,8
0.12202688819960762,0.00857770081685864,0.0911531667605782,0.09766711388134273,0.12296439933323865,0.010227600801982015,0.030940234038089272,0.0,0.04000103566284329,0.07969155621090514,0.04914818285575943,0.055885443685342,0.10012462621506267,0.06761289413948197,0.12397915739890862,0,2,0,2,1,4,4,4
0.12992850443628134,0.007703566980116061,0.07705279850806074,0.055218994720890285,0.1336587795467691,0.005382636984424847,0.006795647361997772,0.00036299265395326954,0.016066669673276496,0.10726811511767294,0.08460477604961239,0.07216368588350987,0.10884063198850794,0.06098828516597427,0.13396391492895274,0,2,3,3,1,4,4,4
0.11818941136525796,0.011580792936378677,0.09281205160882801,0.10838741871614566,0.11734313989312604,0.019707193042562337,0.007970978486967444,0.0,0.029102090851289758,0.08882901835105542,0.0733049037387369,0.040548958243050943,0.11938324380329086,0.053516626532509694,0.11932417243080037,0,2,3,3,1,4,4,4
